"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State"
"Abington,PA,City","Abington",0,0,3,0,7,85,2,2017,1,"PA","Abington,PA","City",3,94,"Abington","PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington","PA","Northeast","Middle Atlantic","abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,58429,"Abington, PA","City","Northeast"
"Ada,ID,County","Ada",0,7,0,20,6,27,2,2017,1,"ID","Ada,ID","County",27,35,"Ada","ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada","ID","West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,144346,"Ada, ID","County","West"
"Aiken,SC,County","Aiken",0,8,8,34,61,160,32,2017,1,"SC","Aiken,SC","County",50,253,"Aiken","SC","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken","SC","South","South Atlantic","aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,112764,"Aiken, SC","County","South"
"Alameda,CA,City","Alameda",0,0,12,7,12,146,33,2020,8,"CA","Alameda,CA","City",19,191,"Alameda","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda","CA","West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,74458,"Alameda, CA","City","West"
"Alameda,CA,County","Alameda",1,1,16,29,36,82,73,2017,1,"CA","Alameda,CA","County",47,191,"Alameda","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda","CA","West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,165271,"Alameda, CA","County","West"
"Albany,GA,City","Albany",3,0,9,55,41,182,18,2023,11,"GA","Albany,GA","City",67,241,"Albany","GA","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany","GA","South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66169,"Albany, GA","City","South"
"Albany,NY,City","Albany",1,1,15,61,40,242,44,2021,10,"NY","Albany,NY","City",78,326,"Albany","NY","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",101930,NA,NA,"","","NY0010100","Albany","NY","Northeast","Middle Atlantic","albany","NY",102095,"city 100,000 thru 249,999",NA,NA,NA,NA,102095,"Albany, NY","City","Northeast"
"Albemarle,VA,County","Albemarle",1,5,0,2,20,78,8,2017,1,"VA","Albemarle,VA","County",8,106,"Albemarle","VA","From VA","State UCR","Provided by State UCR Program",115659,NA,NA,"","","VA0020300","Albemarle","VA","South","South Atlantic","albemarle county pol dep","VA",117655,"msa-county 100,000+",NA,NA,NA,NA,117655,"Albemarle, VA","County","South"
"Albuquerque,NM,City","Albuquerque",7,NA,NA,NA,NA,NA,NA,2024,3,"NM","Albuquerque,NM","City",7,0,"Albuquerque","NM","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque","NM","West","Mountain","albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,558745,"Albuquerque, NM","City","West"
"Aliso Viejo,CA,City","Aliso Viejo",0,0,0,0,4,10,4,2022,2,"CA","Aliso Viejo,CA","City",0,18,"Aliso Viejo","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",50736,NA,NA,"","","CA030490X","Aliso Viejo","CA","West","Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aliso Viejo, CA","City","West"
"Allen,TX,City","Allen",0,5,5,5,11,67,4,2017,1,"TX","Allen,TX","City",15,82,"Allen","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","","TX0430100","Allen","TX","South","West South Central","allen","TX",113737,"city 100,000 thru 249,999",NA,NA,NA,NA,113737,"Allen, TX","City","South"
"Allentown,PA,City","Allentown",2,8,36,24,50,190,15,2017,1,"PA","Allentown,PA","City",70,255,"Allentown","PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",124782,NA,NA,"","","PA0390100","Allentown","PA","Northeast","Middle Atlantic","allentown","PA",124599,"city 100,000 thru 249,999",NA,NA,NA,NA,124599,"Allentown, PA","City","Northeast"
"Amarillo,TX,City","Amarillo",1,16,22,65,131,503,74,2017,1,"TX","Amarillo,TX","City",104,708,"Amarillo","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201684,NA,NA,"","","TX1880100","Amarillo","TX","South","West South Central","amarillo","TX",105068,"city 100,000 thru 249,999",NA,NA,NA,NA,105068,"Amarillo, TX","City","South"
"Ames,IA,City","Ames",0,6,1,9,26,113,13,2017,8,"IA","Ames,IA","City",16,152,"Ames","IA","From IA","State UCR","Provided by Agency",67186,NA,NA,"","","IA0850100","Ames","IA","Midwest","West North Central","ames","IA",65426,"city 50,000 thru 99,999",NA,NA,NA,NA,65426,"Ames, IA","City","Midwest"
"Anaheim,CA,City","Anaheim",4,12,23,51,125,576,133,2017,1,"CA","Anaheim,CA","City",90,834,"Anaheim","CA","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",343147,NA,NA,"","","CA0300100","Anaheim","CA","West","Pacific","anaheim","CA",338488,"city 250,000 thru 499,999",NA,NA,NA,NA,338488,"Anaheim, CA","City","West"
"Ankeny,IA,City","Ankeny",0,6,0,4,19,51,9,2020,7,"IA","Ankeny,IA","City",10,79,"Ankeny","IA","From IA","State UCR","Provided by Agency",74233,NA,NA,"","","IA0770100","Ankeny","IA","Midwest","West North Central","ankeny","IA",76547,"city 50,000 thru 99,999",NA,NA,NA,NA,76547,"Ankeny, IA","City","Midwest"
"Ann Arbor,MI,City","Ann Arbor",0,6,1,20,11,172,6,2024,6,"MI","Ann Arbor,MI","City",27,189,"Ann Arbor","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",118072,NA,NA,"","","MI8121800","Ann Arbor","MI","Midwest","East North Central","ann arbor","MI",118025,"city 100,000 thru 249,999",NA,NA,NA,NA,118025,"Ann Arbor, MI","City","Midwest"
"Antioch,CA,City","Antioch",1,4,30,25,56,160,80,2017,1,"CA","Antioch,CA","City",60,296,"Antioch","CA","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",115271,NA,NA,"","","CA0070100","Antioch","CA","West","Pacific","antioch","CA",117675,"city 100,000 thru 249,999",NA,NA,NA,NA,117675,"Antioch, CA","City","West"
