"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Abilene, TX","Abilene",0,4,11,24,72,255,18,2017,1,"TX",39,345,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",125186,128387,NA,NA,"","Abilene","TX","South","West South Central",128387
"Abington, PA","Abington",0,0,2,5,3,75,3,2024,1,"PA",7,81,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58432,58433,NA,NA,"","Abington Township, Montgomery County","PA","Northeast","Middle Atlantic",58433
"Akron, OH","Akron",0,10,10,70,49,265,51,2024,1,"OH",90,365,"Akron","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",188534,187705,NA,NA,"","Akron","OH","Midwest","East North Central",187705
"Albany, GA","Albany",0,4,11,41,62,241,12,2017,11,"GA",56,315,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",68613,66281,NA,NA,"","Albany","GA","South","South Atlantic",66281
"Albany, OR","Albany",0,1,1,9,8,66,4,2024,1,"OR",11,78,"Albany","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",57058,57002,NA,NA,"","Albany","OR","West","Pacific",57002
"Alexandria, VA","Alexandria",0,1,13,21,18,287,32,2024,1,"VA",35,337,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",150957,153897,NA,NA,"","Alexandria","VA","South","South Atlantic",153897
"Alhambra, CA","Alhambra",0,1,6,6,35,88,28,2020,6,"CA",13,151,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79703,79087,NA,NA,"","Alhambra","CA","West","Pacific",79087
"Allen, TX","Allen",0,5,5,5,11,67,4,2017,1,"TX",15,82,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",108135,114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","Allen","TX","South","West South Central",114696
"Allentown, PA","Allentown",1,3,14,16,21,164,23,2023,4,"PA",34,208,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",125917,124782,NA,NA,"","Allentown","PA","Northeast","Middle Atlantic",124782
"Amarillo, TX","Amarillo",1,16,22,65,131,503,74,2017,1,"TX",104,708,"Amarillo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201572,201684,NA,NA,"","Amarillo","TX","South","West South Central",201684
"Ann Arbor, MI","Ann Arbor",0,6,4,11,14,154,10,2024,1,"MI",21,178,"Ann Arbor","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,118072,NA,NA,"","Ann Arbor","MI","Midwest","East North Central",118072
"Apple Valley, MN","Apple Valley",0,1,0,9,3,77,10,2024,1,"MN",10,90,"Apple Valley","https://cde.state.mn.us/","State UCR","Open Source",55145,54995,NA,NA,"","Apple Valley","MN","Midwest","West North Central",54995
"Arlington Heights, IL","Arlington Heights",0,0,1,5,11,48,4,2022,12,"IL",6,63,"Arlington Heights","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,74094,NA,NA,"","Arlington Heights","IL","Midwest","East North Central",74094
"Arlington, TX","Arlington",3,43,44,79,159,755,106,2017,1,"TX",169,1020,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",391591,394799,NA,NA,"","Arlington","TX","South","West South Central",394799
"Arvada, CO","Arvada",0,1,3,14,30,167,39,2024,2,"CO",18,236,"Arvada","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",122403,120200,NA,NA,"","Arvada","CO","West","Mountain",120200
"Asheville, NC","Asheville",0,NA,9,10,65,154,23,2017,3,"NC",19,242,"Asheville","https://data-avl.opendata.arcgis.com/datasets/fa266be763124be89fee8c1fd99f88ff_3/explore","Agency RMS","Open Source",93729,93471,NA,NA,"","Asheville","NC","South","South Atlantic",93471
"Aurora, CO","Aurora",5,33,37,193,98,590,328,2024,2,"CO",268,1016,"Aurora","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",392134,396976,NA,NA,"","Aurora","CO","West","Mountain",396976
"Austin, TX","Austin",1,65,74,181,433,2170,177,2017,1,"TX",321,2780,"Austin","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",965234,978816,NA,NA,"","Austin","TX","South","West South Central",978816
"Avondale, AZ","Avondale",0,1,7,31,19,251,20,2021,8,"AZ",39,290,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",91467,92661,NA,NA,"","Avondale","AZ","West","Mountain",92661
"Bakersfield, CA","Bakersfield",5,9,48,104,219,529,247,2020,7,"CA",166,995,"Bakersfield","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",NA,413409,NA,NA,"","Bakersfield","CA","West","Pacific",413409
"Baltimore, MD","Baltimore",33,22,325,569,322,1089,299,2021,8,"MD",949,1710,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",570546,565192,NA,NA,"","Baltimore","MD","South","South Atlantic",565192
"Battle Creek, MI","Battle Creek",0,4,5,61,38,83,17,2022,5,"MI",70,138,"Battle Creek","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,60969,NA,NA,"","Battle Creek","MI","Midwest","East North Central",60969
"Baytown, TX","Baytown",0,3,18,10,44,160,29,2017,1,"TX",31,233,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81477,83809,NA,NA,"","Baytown","TX","South","West South Central",83809
"Beaumont, TX","Beaumont",2,11,38,58,132,293,24,2017,1,"TX",109,449,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110898,110671,NA,NA,"","Beaumont","TX","South","West South Central",110671
"Beaverton, OR","Beaverton",0,5,3,10,25,179,15,2024,11,"OR",18,219,"Beaverton","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",98991,96840,NA,NA,"","Beaverton","OR","West","Pacific",96840
"Bellevue, NE","Bellevue",0,5,1,0,2,42,9,2024,1,"NE",6,53,"Bellevue","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",63178,62372,NA,NA,"","Bellevue","NE","Midwest","West North Central",62372
"Bellingham, WA","Bellingham",0,NA,4,NA,NA,166,16,2023,11,"WA",4,182,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",93014,94968,NA,NA,"","Bellingham","WA","West","Pacific",94968
"Bend, OR","Bend",1,4,2,11,14,130,14,2023,8,"OR",18,158,"Bend","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",104649,105099,NA,NA,"","Bend","OR","West","Pacific",105099
"Bensalem, PA","Bensalem",0,0,1,2,6,153,17,2024,8,"PA",3,176,"Bensalem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",62782,62595,NA,NA,"","Bensalem Township","PA","Northeast","Middle Atlantic",62595
"Bethlehem, PA","Bethlehem",1,0,3,11,10,66,5,2024,8,"PA",15,81,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",75619,78606,NA,NA,"Inferred Dec 2019 from annual average","Bethlehem","PA","Northeast","Middle Atlantic",78606
"Blaine, MN","Blaine",0,1,3,5,8,107,8,2018,2,"MN",9,123,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",71368,72384,NA,NA,"","Blaine","MN","Midwest","West North Central",72384
"Bloomington, MN","Bloomington",2,4,4,5,13,230,32,2023,2,"MN",15,275,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",88745,86793,NA,NA,"","Bloomington","MN","Midwest","West North Central",86793
"Blue Springs, MO","Blue Springs",0,1,0,8,13,109,7,2017,1,"MO",9,129,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",60093,59896,NA,NA,"","Blue Springs","MO","Midwest","West North Central",59896
"Bolingbrook, IL","Bolingbrook",0,4,2,4,8,38,3,2023,2,"IL",10,49,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",73364,74138,NA,NA,"","Bolingbrook","IL","Midwest","East North Central",74138
"Boston, MA","Boston",0,12,61,226,141,822,76,2024,1,"MA",299,1039,"Boston","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",638925,642823,NA,NA,"","Boston","MA","Northeast","New England",642823
"Boulder, CO","Boulder",1,4,7,18,48,158,23,2021,2,"CO",30,229,"Boulder","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",103099,104232,NA,NA,"","Boulder","CO","West","Mountain",104232
"Bridgeport, CT","Bridgeport",0,6,19,13,31,75,48,2024,2,"CT",38,154,"Bridgeport","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148395,148483,NA,NA,"","Bridgeport","CT","Northeast","New England",148483
"Bristol, CT","Bristol",0,1,4,2,9,46,11,2018,1,"CT",7,66,"Bristol","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60657,61609,NA,NA,"","Bristol","CT","Northeast","New England",61609
"Brockton, MA","Brockton",1,7,8,39,20,77,26,2024,11,"MA",55,123,"Brockton","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",110084,108938,NA,NA,"","Brockton","MA","Northeast","New England",108938
"Brookline, MA","Brookline",0,0,1,5,5,43,0,2024,1,"MA",6,48,"Brookline","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",62825,62639,NA,NA,"","Brookline","MA","Northeast","New England",62639
"Brooklyn Park, MN","Brooklyn Park",0,8,6,14,16,226,22,2022,3,"MN",28,264,"Brooklyn Park","https://cde.state.mn.us/","State UCR","Open Source",82682,81920,NA,NA,"","Brooklyn Park","MN","Midwest","West North Central",81920
"Broomfield, CO","Broomfield",0,1,1,2,7,151,10,2019,4,"CO",4,168,"Broomfield","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",76137,77072,NA,NA,"","Broomfield","CO","West","Mountain",77072
"Brownsville, TX","Brownsville",1,4,9,12,58,424,18,2017,1,"TX",26,500,"Brownsville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",188906,190590,NA,NA,"","Brownsville","TX","South","West South Central",190590
"Buckeye, AZ","Buckeye",0,5,1,14,6,54,9,2023,5,"AZ",20,69,"Buckeye","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",110002,112048,NA,NA,"","Buckeye","AZ","West","Mountain",112048
"Buffalo, NY","Buffalo",4,13,63,101,137,400,35,2017,2,"NY",181,572,"Buffalo","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275710,275922,NA,NA,"","Buffalo","NY","Northeast","Middle Atlantic",275922
"Burbank, CA","Burbank",0,5,3,15,24,209,17,2017,12,"CA",23,250,"Burbank","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",103516,102345,NA,NA,"","Burbank","CA","West","Pacific",102345
"Burleson, TX","Burleson",1,1,0,5,9,48,10,2017,1,"TX",7,67,"Burleson","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55356,56307,NA,NA,"","Burleson","TX","South","West South Central",56307
"Burnsville, MN","Burnsville",0,2,2,9,7,125,15,2021,2,"MN",13,147,"Burnsville","https://cde.state.mn.us/","State UCR","Open Source",63361,63650,NA,NA,"","Burnsville","MN","Midwest","West North Central",63650
"Caldwell, ID","Caldwell",0,2,0,6,6,52,1,2021,6,"ID",8,59,"Caldwell","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",66940,68731,NA,NA,"","Caldwell","ID","West","Mountain",68731
"Cambridge, MA","Cambridge",0,1,11,41,15,181,19,2022,7,"MA",53,215,"Cambridge","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",117044,118960,NA,NA,"","Cambridge","MA","Northeast","New England",118960
"Canton Township, MI","Canton Township",0,0,0,12,8,71,3,2024,9,"MI",12,82,"Canton Township","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,98915,NA,NA,"","Canton Township","MI","Midwest","East North Central",98915
"Canton, OH","Canton",1,5,19,35,74,210,20,2017,12,"OH",60,304,"Canton","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",70070,69164,NA,NA,"","Canton","OH","Midwest","East North Central",69164
"Carlsbad, CA","Carlsbad",0,2,3,14,34,147,10,2024,1,"CA",19,191,"Carlsbad","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",115531,113796,NA,NA,"","Carlsbad","CA","West","Pacific",113796
"Castle Rock, CO","Castle Rock",0,1,0,1,6,59,2,2023,6,"CO",2,67,"Castle Rock","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",79102,83546,NA,NA,"","Castle Rock","CO","West","Mountain",83546
"Cedar Park, TX","Cedar Park",0,4,1,3,9,60,1,2017,1,"TX",8,70,"Cedar Park","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79353,77464,NA,NA,"","Cedar Park","TX","South","West South Central",77464
