"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Abilene,TX,City","Abilene",0,10,5,19,39,125,10,2025,1,"Abilene,TX","City",34,174,"Abilene","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",128387,NA,NA,"","","TX2210100","Abilene",NA,"South","West South Central","abilene","TX",124413,"city 100,000 thru 249,999",NA,NA,NA,NA,128387,"Abilene, TX","City","TX","TX"
"Abington,PA,City","Abington",0,0,3,0,7,85,2,2017,1,"Abington,PA","City",3,94,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington",NA,"Northeast","Middle Atlantic","abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,58433,"Abington, PA","City","PA","PA"
"Ada,ID,County","Ada",0,7,0,20,6,27,2,2017,1,"Ada,ID","County",27,35,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada",NA,"West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,138487,"Ada, ID","County","ID","ID"
"Aiken,SC,County","Aiken",2,2,1,19,27,80,16,2025,1,"Aiken,SC","County",24,123,"Aiken","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken",NA,"South","South Atlantic","aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,110756,"Aiken, SC","County","SC","SC"
"Akron,OH,City","Akron",0,19,7,63,55,378,57,2025,1,"Akron,OH","City",89,490,"Akron","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",187705,NA,NA,"","","OH0770100","Akron",NA,"Midwest","East North Central","akron","OH",188223,"city 100,000 thru 249,999",NA,NA,NA,NA,187705,"Akron, OH","City","OH","OH"
"Alameda,CA,City","Alameda",0,2,20,11,16,234,69,2023,1,"Alameda,CA","City",33,319,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda",NA,"West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,75061,"Alameda, CA","City","CA","CA"
"Alameda,CA,County","Alameda",0,2,18,42,16,103,44,2025,1,"Alameda,CA","County",62,163,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda",NA,"West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,148466,"Alameda, CA","County","CA","CA"
"Albany,GA,City","Albany",2,2,16,44,103,192,10,2017,1,"Albany,GA","City",64,305,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany",NA,"South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66281,"Albany, GA","City","GA","GA"
"Albany,NY,City","Albany",0,11,15,50,33,181,24,2024,6,"Albany,NY","City",76,238,"Albany","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",102095,NA,NA,"","","NY0010100","Albany",NA,"Northeast","Middle Atlantic","albany","NY",102095,"city 100,000 thru 249,999",NA,NA,NA,NA,101930,"Albany, NY","City","NY","NY"
"Albemarle,VA,County","Albemarle",1,2,1,10,7,125,19,2024,3,"Albemarle,VA","County",14,151,"Albemarle","From VA","State UCR","Provided by State UCR Program",115659,NA,NA,"","","VA0020300","Albemarle",NA,"South","South Atlantic","albemarle county pol dep","VA",117655,"msa-county 100,000+",NA,NA,NA,NA,115659,"Albemarle, VA","County","VA","VA"
"Albuquerque,NM,City","Albuquerque",6,NA,NA,NA,NA,NA,NA,2017,1,"Albuquerque,NM","City",6,0,"Albuquerque","https://www.cabq.gov/police/crime-statistics","Agency Aggregated","Open Source",559094,NA,NA,"FBI data for 2017 and Aug-Dec 2018. Agency data all other months. ","","NM0010100","Albuquerque",NA,"West","Mountain","albuquerque","NM",558745,"city 500,000 thru 999,999",NA,NA,NA,NA,559094,"Albuquerque, NM","City","NM","NM"
"Alexandria,VA,City","Alexandria",0,1,9,16,11,162,23,2021,3,"Alexandria,VA","City",26,196,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",153897,NA,NA,"","","VA0990000","Alexandria",NA,"South","South Atlantic","alexandria","VA",155153,"city 100,000 thru 249,999",NA,NA,NA,NA,153897,"Alexandria, VA","City","VA","VA"
"Alhambra,CA,City","Alhambra",1,2,13,5,37,129,39,2017,1,"Alhambra,CA","City",21,205,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79087,NA,NA,"","","CA0190100","Alhambra",NA,"West","Pacific","alhambra","CA",78840,"city 50,000 thru 99,999",NA,NA,NA,NA,79087,"Alhambra, CA","City","CA","CA"
"Aliso Viejo,CA,City","Aliso Viejo",0,0,2,1,7,50,6,2019,1,"Aliso Viejo,CA","City",3,63,"Aliso Viejo","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",49674,NA,NA,"","","CA030490X","Aliso Viejo",NA,"West","Pacific",NA,NA,50736,NA,NA,NA,NA,NA,50736,"Aliso Viejo, CA","City","CA","CA"
"Allen,TX,City","Allen",0,2,1,4,8,85,2,2021,6,"Allen,TX","City",7,95,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","","TX0430100","Allen",NA,"South","West South Central","allen","TX",113737,"city 100,000 thru 249,999",NA,NA,NA,NA,114696,"Allen, TX","City","TX","TX"
"Allentown,PA,City","Allentown",1,2,14,6,47,173,38,2018,1,"Allentown,PA","City",23,258,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",124782,NA,NA,"","","PA0390100","Allentown",NA,"Northeast","Middle Atlantic","allentown","PA",124599,"city 100,000 thru 249,999",NA,NA,NA,NA,124782,"Allentown, PA","City","PA","PA"
"Alpharetta,GA,City","Alpharetta",0,1,2,1,1,72,2,2018,2,"Alpharetta,GA","City",4,75,"Alpharetta","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67788,NA,NA,"","","GA0600400","Alpharetta",NA,"South","South Atlantic","alpharetta","GA",67788,"city 50,000 thru 99,999",NA,NA,NA,NA,68139,"Alpharetta, GA","City","GA","GA"
"Ames,IA,City","Ames",0,5,0,8,11,82,7,2024,11,"Ames,IA","City",13,100,"Ames","From IA","State UCR","Provided by Agency",67186,NA,NA,"","","IA0850100","Ames",NA,"Midwest","West North Central","ames","IA",65426,"city 50,000 thru 99,999",NA,NA,NA,NA,67186,"Ames, IA","City","IA","IA"
