"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Abington,PA,City","Abington",0,1,2,0,2,77,7,2025,1,"Abington,PA","City",3,86,"Abington","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",58433,NA,NA,"","","PA0460100","Abington",NA,"Northeast","Middle Atlantic","abington township","PA",58429,"city 50,000 thru 99,999",NA,NA,NA,NA,58433,"Abington, PA","City","PA","PA"
"Ada,ID,County","Ada",0,6,0,19,19,39,8,2017,7,"Ada,ID","County",25,66,"Ada","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends","State UCR","Open Source",138487,NA,NA,"","","ID0010000","Ada",NA,"West","Mountain","ada","ID",144346,"msa-county 100,000+",NA,NA,NA,NA,138487,"Ada, ID","County","ID","ID"
"Aiken,SC,County","Aiken",2,6,2,25,69,103,26,2018,1,"Aiken,SC","County",35,198,"Aiken","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",110756,NA,NA,"","","SC0020000","Aiken",NA,"South","South Atlantic","aiken","SC",112764,"msa-county 100,000+",NA,NA,NA,NA,110756,"Aiken, SC","County","SC","SC"
"Akron,OH,City","Akron",0,19,7,63,55,378,57,2025,1,"Akron,OH","City",89,490,"Akron","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",187705,NA,NA,"","","OH0770100","Akron",NA,"Midwest","East North Central","akron","OH",188223,"city 100,000 thru 249,999",NA,NA,NA,NA,187705,"Akron, OH","City","OH","OH"
"Alameda,CA,City","Alameda",0,1,17,12,34,171,31,2025,1,"Alameda,CA","City",30,236,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",75061,NA,NA,"","","CA0010100","Alameda",NA,"West","Pacific","alameda","CA",74458,"city 50,000 thru 99,999",NA,NA,NA,NA,75061,"Alameda, CA","City","CA","CA"
"Alameda,CA,County","Alameda",0,2,18,42,16,103,44,2025,1,"Alameda,CA","County",62,163,"Alameda","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",148466,NA,NA,"","","CA0010000","Alameda",NA,"West","Pacific","alameda","CA",165271,"msa-county 100,000+",NA,NA,NA,NA,148466,"Alameda, CA","County","CA","CA"
"Albany,GA,City","Albany",2,2,16,44,103,192,10,2017,1,"Albany,GA","City",64,305,"Albany","https://www.albanyga.gov/crime-statistics","Agency Aggregated","Open Source",66281,NA,NA,"","","GA0470100","Albany",NA,"South","South Atlantic","albany","GA",66169,"city 50,000 thru 99,999",NA,NA,NA,NA,66281,"Albany, GA","City","GA","GA"
"Albemarle,VA,County","Albemarle",0,1,2,10,9,136,14,2024,4,"Albemarle,VA","County",13,159,"Albemarle","From VA","State UCR","Provided by State UCR Program",115659,NA,NA,"","","VA0020300","Albemarle",NA,"South","South Atlantic","albemarle county pol dep","VA",117655,"msa-county 100,000+",NA,NA,NA,NA,115659,"Albemarle, VA","County","VA","VA"
"Alexandria,VA,City","Alexandria",0,1,6,14,10,218,21,2025,1,"Alexandria,VA","City",21,249,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",153897,NA,NA,"","","VA0990000","Alexandria",NA,"South","South Atlantic","alexandria","VA",155153,"city 100,000 thru 249,999",NA,NA,NA,NA,153897,"Alexandria, VA","City","VA","VA"
"Alhambra,CA,City","Alhambra",1,2,13,5,37,129,39,2017,1,"Alhambra,CA","City",21,205,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79087,NA,NA,"","","CA0190100","Alhambra",NA,"West","Pacific","alhambra","CA",78840,"city 50,000 thru 99,999",NA,NA,NA,NA,79087,"Alhambra, CA","City","CA","CA"
