"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"OR0220100","Albany",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","City","Albany,OR","Albany,OR,City","City"
"CA0190100","Alhambra",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Alhambra,CA","Alhambra,CA,City","City"
"TX1880100","Amarillo",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Amarillo,TX","Amarillo,TX,City","City"
"IN0480200","Anderson",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Anderson,IN","Anderson,IN,City","City"
"MA0010100","Barnstable",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Barnstable,MA","Barnstable,MA,City","City"
"OR0340100","Beaverton",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","City","Beaverton,OR","Beaverton,OR,City","City"
"PA0090100","Bensalem",NA,NA,NA,NA,NA,NA,NA,2026,4,"PA","City","Bensalem,PA","Bensalem,PA,City","City"
"TX0150000","Bexar",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","County","Bexar,TX","Bexar,TX,County","County"
"MT0560100","Billings",NA,NA,NA,NA,NA,NA,NA,2026,4,"MT","City","Billings,MT","Billings,MT,City","City"
"IN0530100","Bloomington",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Bloomington,IN","Bloomington,IN,City","City"
"ID0010100","Boise",NA,NA,NA,NA,NA,NA,NA,2026,4,"ID","City","Boise,ID","Boise,ID,City","City"
"CO0070100","Boulder",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Boulder,CO","Boulder,CO,City","City"
"CT0001500","Bridgeport",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Bridgeport,CT","Bridgeport,CT,City","City"
"GA0447200","Brookhaven",NA,NA,NA,NA,NA,NA,NA,2026,4,"GA","City","Brookhaven,GA","Brookhaven,GA,City","City"
"MA0110400","Brookline",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Brookline,MA","Brookline,MA,City","City"
"NC0920300","Cary",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","City","Cary,NC","Cary,NC,City","City"
"CO0180100","Castle Rock",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Castle Rock,CO","Castle Rock,CO,City","City"
