"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state"
"Albany",NA,NA,NA,NA,NA,NA,NA,2024,6,"OR","Albany, OR"
"Alexandria",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Alexandria, VA"
"Alhambra",NA,NA,NA,NA,NA,NA,NA,2024,6,"CA","Alhambra, CA"
"Amarillo",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","Amarillo, TX"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Barnstable, MA"
"Beaverton",NA,NA,NA,NA,NA,NA,NA,2024,6,"OR","Beaverton, OR"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Brookline, MA"
"Brownsville",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","Brownsville, TX"
"Caldwell",NA,NA,NA,NA,NA,NA,NA,2024,6,"ID","Caldwell, ID"
"Chesapeake",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Chesapeake, VA"
"Cuyahoga Falls",NA,NA,NA,NA,NA,NA,NA,2024,6,"OH","Cuyahoga Falls, OH"
"Denton",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","Denton, TX"
"El Paso",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","El Paso, TX"
"Everett",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Everett, MA"
"Fall River",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Fall River, MA"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2024,6,"MO","Florissant, MO"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Framingham, MA"
"Hampton",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Hampton, VA"
"Harrisonburg",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Harrisonburg, VA"
"Hartford",NA,NA,NA,NA,NA,NA,NA,2024,6,"CT","Hartford, CT"
"Joplin",NA,NA,NA,NA,NA,NA,NA,2024,6,"MO","Joplin, MO"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,6,"CO","Lakewood, CO"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2024,6,"OH","Lakewood, OH"
"Lawrence",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Lawrence, MA"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2024,6,"CO","Longmont, CO"
"Los Angeles",NA,NA,NA,NA,NA,NA,NA,2024,6,"CA","Los Angeles, CA"
"Loveland",NA,NA,NA,NA,NA,NA,NA,2024,6,"CO","Loveland, CO"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Lowell, MA"
"Lynchburg",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Lynchburg, VA"
"Manchester",NA,NA,NA,NA,NA,NA,NA,2024,6,"CT","Manchester, CT"
"Maricopa",NA,NA,NA,NA,NA,NA,NA,2024,6,"AZ","Maricopa, AZ"
"Medford",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Medford, MA"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2024,6,"CT","Meriden, CT"
"Methuen",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Methuen, MA"
"Milford",NA,NA,NA,NA,NA,NA,NA,2024,6,"CT","Milford, CT"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2024,6,"ID","Nampa, ID"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2024,6,"CT","New Haven, CT"
"Newport News",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Newport News, VA"
"Newton",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Newton, MA"
"Norfolk",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Norfolk, VA"
"Normal",NA,NA,NA,NA,NA,NA,NA,2024,6,"IL","Normal, IL"
"North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2024,6,"NV","North Las Vegas, NV"
"Parma",NA,NA,NA,NA,NA,NA,NA,2024,6,"OH","Parma, OH"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Peabody, MA"
"Pocatello",NA,NA,NA,NA,NA,NA,NA,2024,6,"ID","Pocatello, ID"
"Portsmouth",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Portsmouth, VA"
"Roanoke",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Roanoke, VA"
"San Bernardino",NA,NA,NA,NA,NA,NA,NA,2024,6,"CA","San Bernardino, CA"
"San Jose",NA,NA,NA,NA,NA,NA,NA,2024,6,"CA","San Jose, CA"
"Scottsdale",NA,NA,NA,NA,NA,NA,NA,2024,6,"AZ","Scottsdale, AZ"
"Somerville",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Somerville, MA"
"St Peters",NA,NA,NA,NA,NA,NA,NA,2024,6,"MO","St Peters, MO"
"Suffolk",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Suffolk, VA"
"Virginia Beach",NA,NA,NA,NA,NA,NA,NA,2024,6,"VA","Virginia Beach, VA"
"West Chester Township",NA,NA,NA,NA,NA,NA,NA,2024,6,"OH","West Chester Township, OH"
"Wichita Falls",NA,NA,NA,NA,NA,NA,NA,2024,6,"TX","Wichita Falls, TX"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2024,6,"MA","Worcester, MA"
