"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Albemarle",0,2,1,1,6,82,5,2025,1,"VA","Albemarle,VA","County","Albemarle,VA,County"
"Alexandria",0,0,5,6,5,177,14,2025,1,"VA","Alexandria,VA","City","Alexandria,VA,City"
"Alhambra",0,0,7,10,23,120,16,2025,1,"CA","Alhambra,CA","City","Alhambra,CA,City"
"Ann Arbor",0,4,0,10,19,95,6,2024,12,"MI","Ann Arbor,MI","City","Ann Arbor,MI,City"
"Arlington",0,2,20,32,23,330,17,2025,1,"VA","Arlington,VA","County","Arlington,VA,County"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","Barnstable,MA","City","Barnstable,MA,City"
"Baton Rouge",7,21,45,144,155,667,132,2024,7,"LA","Baton Rouge,LA","City","Baton Rouge,LA,City"
"Battle Creek",0,3,2,35,21,72,13,2024,12,"MI","Battle Creek,MI","City","Battle Creek,MI,City"
"Boston",2,9,46,184,57,770,22,2025,1,"MA","Boston,MA","City","Boston,MA,City"
"Brockton",1,3,5,32,14,51,14,2025,1,"MA","Brockton,MA","City","Brockton,MA,City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","Brookline,MA","City","Brookline,MA,City"
"Cambridge",1,2,6,34,25,219,6,2025,1,"MA","Cambridge,MA","City","Cambridge,MA,City"
"Canton Township",0,1,0,8,7,69,4,2024,12,"MI","Canton Township,MI","City","Canton Township,MI,City"
"Chesapeake",0,7,9,51,15,241,13,2025,1,"VA","Chesapeake,VA","City","Chesapeake,VA,City"
"Chesterfield",2,3,11,44,26,360,29,2025,1,"VA","Chesterfield,VA","County","Chesterfield,VA,County"
"Chicopee",0,1,3,6,5,56,12,2025,1,"MA","Chicopee,MA","City","Chicopee,MA,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2024,12,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Dearborn Heights",0,2,1,10,3,18,10,2024,12,"MI","Dearborn Heights,MI","City","Dearborn Heights,MI,City"
"Dearborn",1,1,1,9,3,69,14,2024,12,"MI","Dearborn,MI","City","Dearborn,MI,City"
"Everett",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","Everett,MA","City","Everett,MA,City"
"Fairfax",0,9,27,41,40,1205,101,2025,1,"VA","Fairfax,VA","County","Fairfax,VA,County"
"Fall River",0,9,10,48,20,66,13,2025,1,"MA","Fall River,MA","City","Fall River,MA,City"
"Farmington Hills",0,0,2,5,7,31,4,2024,12,"MI","Farmington Hills,MI","City","Farmington Hills,MI,City"
"Flint",NA,NA,NA,NA,NA,NA,NA,2024,12,"MI","Flint,MI","City","Flint,MI,City"
"Fort Wayne",1,13,12,59,36,380,53,2024,10,"IN","Fort Wayne,IN","City","Fort Wayne,IN,City"
"Framingham",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","Framingham,MA","City","Framingham,MA,City"
"Hamilton",0,1,0,24,21,67,5,2024,12,"TN","Hamilton,TN","County","Hamilton,TN,County"
"Hampton",0,4,2,12,22,274,21,2025,1,"VA","Hampton,VA","City","Hampton,VA,City"
