"","x"
"1","Alhambra, CA"
"2","Scottsdale, AZ"
"3","Maricopa, AZ"
"4","Longmont, CO"
"5","Lakewood, CO"
"6","Loveland, CO"
"7","Hartford, CT"
"8","Manchester, CT"
"9","Meriden, CT"
"10","Milford, CT"
"11","New Haven, CT"
"12","Caldwell, ID"
"13","Nampa, ID"
"14","Pocatello, ID"
"15","Normal, IL"
"16","Los Angeles, CA"
"17","Barnstable, MA"
"18","Brookline, MA"
"19","Everett, MA"
"20","Fall River, MA"
"21","Framingham, MA"
"22","Lawrence, MA"
"23","Lowell, MA"
"24","Malden, MA"
"25","Medford, MA"
"26","Methuen, MA"
"27","Newton, MA"
"28","Peabody, MA"
"29","Somerville, MA"
"30","Worcester, MA"
"31","Blue Springs, MO"
"32","Florissant, MO"
"33","Joplin, MO"
"34","St Peters, MO"
"35","North Las Vegas, NV"
"36","Canton, OH"
"37","Cuyahoga Falls, OH"
"38","Dublin, OH"
"39","Hamilton, OH"
"40","Kettering, OH"
"41","Lakewood, OH"
"42","Parma, OH"
"43","West Chester Township, OH"
"44","Youngstown, OH"
"45","Albany, OR"
"46","Beaverton, OR"
"47","Gresham, OR"
"48","Bend, OR"
"49","Corvallis, OR"
"50","Eugene, OR"
"51","Hillsboro, OR"
"52","Medford, OR"
"53","Salem, OR"
"54","Springfield, OR"
"55","Tigard, OR"
"56","San Bernardino, CA"
"57","San Jose, CA"
"58","Carrollton, TX"
"59","Denton, TX"
"60","Allen, TX"
"61","Mission, TX"
"62","Amarillo, TX"
"63","Brownsville, TX"
"64","El Paso, TX"
"65","Wichita Falls, TX"
"66","Alexandria, VA"
"67","Chesapeake, VA"
"68","Hampton, VA"
"69","Harrisonburg, VA"
"70","Lynchburg, VA"
"71","Newport News, VA"
"72","Norfolk, VA"
"73","Portsmouth, VA"
"74","Roanoke, VA"
"75","Suffolk, VA"
"76","Virginia Beach, VA"
