"","pds","Total","Note"
"1","<100k",14,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"2","1mn+",14,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"3","250k-1mn",14,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"4","Nationwide Count",14,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"5","State Sample Counts_IL",14,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"6","Regional Sample Counts",13,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"7","State Sample Counts_TX",13,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"8","100k-250k",12,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"9","Chicago,IL,City",12,"Murder_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"10","Houston,TX,City",12,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"11","Philadelphia,PA,City",12,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"12","State Sample Counts_CA",12,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"13","State Sample Counts_MA",12,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"14","State Sample Counts_OH",12,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"15","State Sample Counts_PA",12,"Murder_pri8 | Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"16","Columbus,OH,City",11,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"17","Memphis,TN,City",11,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"18","State Sample Counts_AZ",11,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"19","State Sample Counts_CO",11,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
